ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
23    Clay Davis                               The Wire                           -24.45
24    Lucius Fox                               Gotham                             -23.82
25    Charlotte York                           Sex and the City                   -23.80
26    Abe Weissman                             The Marvelous Mrs. Maisel          -23.63
27    Rebecca Welton                           Ted Lasso                          -23.61
28    Liberty Van Zandt                        Degrassi: The Next Generation      -23.45
29    Lynette Scavo                            Desperate Housewives               -23.42
30    Wanda Maximoff                           WandaVision                        -23.28
31    Sam Obisanya                             Ted Lasso                          -22.70
32    Ed Hurley                                Twin Peaks                         -22.65
33    Baby                                     Baby Driver                        -22.60
34    Jack Maine                               A Star Is Born                     -22.37
35    Colin Sullivan                           The Departed                       -22.19
36    Nicole Haught                            Wynonna Earp                       -22.12
37    Dr. Neil Melendez                        The Good Doctor                    -22.05
38    Marty McFly                              Back to the Future                 -22.03
39    John Crichton                            Farscape                           -21.90
40    Telemachus                               The Odyssey                        -21.85
41    Daisy Fuller                             The Curious Case of Benjamin       -21.81
42    Leo McGarry                              The West Wing                      -21.78
43    King Claudius                            Hamlet                             -21.34
44    Dolores Abernathy                        Westworld                          -21.32
45    Lester Freamon                           The Wire                           -21.18
46    Jimmy Hurdstrom                          Yellowstone                        -21.17
47    Tanya Chesham-Leigh                      Mamma Mia!                         -21.12
48    Clarice Starling                         The Silence of the Lambs           -20.83
49    Harry Kim                                Star Trek: Voyager                 -20.22
50    Drew Baylor                              Elizabethtown                      -19.95
51    Finn                                     Star Wars: The Last Jedi           -18.81
52    Edna Krabappel                           The Simpsons                       -18.80
53    Ted Mullens                              Schitt's Creek                     -18.65
54    Hawkeye                                  Marvel Cinematic Universe          -18.39
55    Hakoda                                   Avatar: The Last Airbender         -18.23
56    Istredd                                  The Witcher                        -18.04
57    Countess Vronskaya                       Anna Karenina                      -17.92
58    Skylar                                   Good Will Hunting                  -17.90
59    Louis Tully                              Ghostbusters                       -17.85
60    Frances 'Baby' Houseman                  Dirty Dancing                      -17.84
61    Henry Spencer                            Psych                              -17.68
62    C. Carwood Lipton                        Band of Brothers                   -17.50
63    Prince Stepan Oblonsky                   Anna Karenina                      -17.42
64    Rose DeWitt Bukater                      Titanic                            -16.89
65    Paul Kinsey                              Mad Men                            -16.85
66    Jake Ballard                             Scandal                            -16.81
67    Jason Street                             Friday Night Lights                -16.78
68    Li Mu Bai                                Crouching Tiger, Hidden Drago      -16.51
69    John B                                   Outer Banks                        -16.49
70    Castiel                                  Supernatural                       -16.40
71    Nathan Shelley                           Ted Lasso                          -16.34
72    Holden McCrea                            The Cabin in the Woods             -16.06
73    Mitchell Pritchett                       Modern Family                      -15.96
74    Gaius Baltar                             Battlestar Galactica               -15.89
75    Joan Holloway                            Mad Men                            -15.85
76    Sookie St. James                         Gilmore Girls                      -15.59
77    Polonius                                 Hamlet                             -15.57
78    Spike                                    The Land Before Time               -15.45
79    David Levinson                           Independence Day                   -15.14
80    Patrick Stewart                          The Perks of Being a Wallflow      -15.03
81    Niko Polastri                            Killing Eve                        -14.95
82    Ashley Marin                             Pretty Little Liars                -14.93
83    Richard Webber                           Grey's Anatomy                     -14.92
84    Sally Rayburn                            Bloodline                          -14.90
85    Mike Ross                                Suits                              -14.47
86    The Wizard of Oz                         The Wizard of Oz                   -14.41
87    Karl 'Helo' Agathon                      Battlestar Galactica               -13.98
88    Hans Gruber                              Die Hard                           -13.92
89    Rowan Pope                               Scandal                            -13.89
90    Michael Lee                              The Wire                           -13.78
91    Lincoln Rice                             Broad City                         -13.67
92    Susie Myerson                            The Marvelous Mrs. Maisel          -13.64
93    Charlie Kelly                            It's Always Sunny in Philadel       13.22
94    Summer Finn                              (500) Days of Summer               -13.11
95    Alexander Conklin                        The Bourne Identity                -13.04
96    Margaery Tyrell                          Game of Thrones                    -13.04
97    Sylvie Grateau                           Emily in Paris                     -12.84
98    Sun-Hwa Kwon                             LOST                               -12.81
99    Alex Dunphy                              Modern Family                      -12.66
100   Derrial Book                             Firefly + Serenity                 -12.48
101   Seong Gi-hun                             Squid Game                         -12.44
102   Paul Varjak                              Breakfast at Tiffany's             -12.41
103   Leigh Teabing                            The Da Vinci Code                  -12.24
104   Yao                                      Mulan                              -11.92
105   Shae                                     Game of Thrones                    -11.81
106   Carrie Bradshaw                          Sex and the City                   -11.72
107   Howard Payne                             Speed                              -11.68
108   Midge Pinciotti                          That 70's Show                     -11.65
109   Peter Clemenza                           The Godfather                      -11.64
110   Rachel Menken                            Mad Men                            -11.63
111   Marnie Michaels                          Girls                              -11.41
112   Craig Pelton                             Community                          -10.96
113   Rick Blaine                              Casablanca                         -10.92
114   Princess Ann                             Roman Holiday                      -10.65
115   Kumail Nanjiani                          The Big Sick                       -10.51
116   Walter White                             Breaking Bad                        -9.66
117   Ryan Cooper                              Promising Young Woman                9.64
118   Charlie Carson                           Downton Abbey                       -9.63
119   Jorah Mormont                            Game of Thrones                     -9.60
120   Kurisu Makise                            Steins;Gate                         -9.17
121   Javier Esposito                          Castle                              -8.64
122   Lilah MacManus                           Ctrl+Alt+Del                        -8.51
123   Galen Tyrol                              Battlestar Galactica                 8.38
124   Lila Crane                               Psycho                              -8.29
125   Sharon 'Boomer' Valerii                  Battlestar Galactica                -8.24
126   Rose Armitage                            Get Out                             -8.23
127   Dr. James Wilson                         House, M.D.                         -8.07
128   Nick Blaine                              The Handmaid's Tale                  8.05
129   Fox Mulder                               The X-Files                         -7.99
130   Robert Fischer                           Inception                           -7.98
131   Matt Donovan                             The Vampire Diaries                  7.53
132   Bobbie Draper                            The Expanse                         -7.47
133   Cera                                     The Land Before Time                 7.45
134   Coach Beard                              Ted Lasso                            7.36
135   Shauna                                   Yellowjackets                        7.24
136   Ritsuko Akagi                            Neon Genesis Evangelion             -7.16
137   Kendall Roy                              Succession                          -7.13
138   Willow Rosenberg                         Buffy the Vampire Slayer             7.06
139   Will Hunting                             Good Will Hunting                    7.02
140   Fez                                      That 70's Show                       6.95
141   Mushu                                    Mulan                               -6.90
142   Ophelia                                  Hamlet                               6.75
143   Abby Lockhart                            ER                                  -6.71
144   Daniel Jackson                           Stargate SG-1                       -6.64
145   Donna Hayward                            Twin Peaks                           6.58
146   Tom Scavo                                Desperate Housewives                -6.52
147   Rick Sanchez                             Rick and Morty                       6.50
148   Chuck Bass                               Gossip Girl                         -6.49
149   Kirk Gleason                             Gilmore Girls                       -6.27
150   Belle French                             Once Upon a Time                    -6.04
151   Dr. Harry Wells                          The Flash                           -5.99
152   Jet Black                                Cowboy Bebop                         5.92
153   Hannah Horvath                           Girls                               -5.75
154   John Smith                               The Man in the High Castle          -5.73
155   Lenny                                    After Life                          -5.73
156   Johnny Rose                              Schitt's Creek                       5.73
157   Ron Weasley                              Harry Potter                        -5.67
158   Marcus Bell                              Elementary                          -5.63
159   Michelle                                 The Room                            -5.44
160   Dobby                                    Harry Potter                         5.33
161   Lorna Morello                            Orange is the New Black             -5.22
162   Kevin Rayburn                            Bloodline                            5.08
163   Martin Brody                             Jaws                                -5.04
164   Forrest Gump                             Forrest Gump                         5.04
165   Thomas Rainwater                         Yellowstone                          4.98
166   Dr. Allison Cameron                      House, M.D.                         -4.87
167   Rose Tico                                Star Wars: The Last Jedi            -4.87
168   Phoebe Buffay                            Friends                             -4.74
169   Tom Keller                               Riverdale                           -4.62
170   Kalinda Sharma                           The Good Wife                        4.62
171   Abigail Baker                            Blue Bloods                         -4.61
172   Peter                                    The Room                            -4.61
173   Lucas Sinclair                           Stranger Things                      4.60
174   Julien                                   Emily in Paris                      -4.55
175   Ennis Del Mar                            Brokeback Mountain                   4.54
176   Ann Perkins                              Parks and Recreation                 4.53
177   Philip, Duke of Edinburgh                The Crown                            4.51
178   Rod Williams                             Get Out                             -4.47
179   Geordi La Forge                          Star Trek: The Next Generatio        4.45
180   Capt. Oliver Queenan                     The Departed                        -4.38
181   Mayuri Shiina                            Steins;Gate                         -4.38
182   Hanna Marin                              Pretty Little Liars                  4.30
183   John Willoughby                          Sense and Sensibility                4.27
184   Phil Connors                             Groundhog Day                       -4.27
185   Darlene                                  Mr. Robot                           -4.24
186   John Hammond                             Jurassic Park                       -4.24
187   Josiah Bartlet                           The West Wing                        4.22
188   Rita                                     The Handmaid's Tale                  4.22
189   Donna Meagle                             Parks and Recreation                 4.21
190   Villanelle                               Killing Eve                          4.16
191   Glenn Rhee                               The Walking Dead                    -4.16
192   Peter Jason Quill                        Marvel Cinematic Universe           -4.13
193   Dr. Ellie Sattler                        Jurassic Park                        4.12
194   Chakotay                                 Star Trek: Voyager                  -4.09
195   India Wilkes                             Gone With the Wind                   4.05
196   Aram Mojtabai                            The Blacklist                        4.04
197   Mr. Saito                                Inception                           -3.94
198   Greg Sanders                             CSI: Crime Scene Investigatio       -3.91
199   Cristina Yang                            Grey's Anatomy                      -3.88
200   Alexis Castle                            Castle                               3.72
201   Rachel Dawes                             The Dark Knight                     -3.63
202   John Galt                                Atlas Shrugged                      -3.59
203   Lori Grimes                              The Walking Dead                    -3.57
204   Archie 'Snake' Simpson                   Degrassi: The Next Generation       -3.54
205   Peter Wiggin                             Ender's Game                        -3.52
206   Gavin Belson                             Silicon Valley                      -3.50
207   Yennefer                                 The Witcher                          3.50
208   Angela Martin                            The Office                           3.47
209   Leonard Hofstadter                       The Big Bang Theory                 -3.46
210   Jadzia Dax                               Star Trek: Deep Space Nine           3.45
211   Petunia Dursley                          Harry Potter                         3.40
212   Mal Cobb                                 Inception                           -3.38
213   Archie Andrews                           Riverdale                            3.36
214   Abby Sciuto                              NCIS                                -3.36
215   Wichita                                  Zombieland                           3.33
216   Emily Gardner                            The Big Sick                        -3.31
217   Lawrence Yee                             Succession                           3.31
218   Daisy Mason                              Downton Abbey                        3.31
219   The Nurse                                Romeo and Juliet                     3.26
220   Adam Groff                               Sex Education                       -3.23
221   Toni Topaz                               Riverdale                           -3.14
222   Fantine                                  Les Misérables                       3.10
223   Roy Harper                               Arrow                               -3.09
224   Julia                                    Nineteen Eighty-Four                -3.08
225   David Rossi                              Criminal Minds                      -2.98
226   Becca Butcher                            The Boys                            -2.96
227   Anastasia Steele                         Fifty Shades of Grey                 2.90
228   Mateo Liwanag                            Superstore                          -2.86
229   Tony Lip                                 Green Book                          -2.85
230   Aladdin                                  Aladdin                             -2.82
231   Julie Mayer                              Desperate Housewives                -2.80
232   Norman Bates                             Psycho                               2.80
233   Sam Button                               The Perks of Being a Wallflow        2.79
234   Hobbes                                   Calvin and Hobbes                    2.71
235   Francisco d'Anconia                      Atlas Shrugged                      -2.68
236   Luc                                      Emily in Paris                      -2.66
237   Eugene G. Roe                            Band of Brothers                     2.63
238   Bernadette Rostenkowski                  The Big Bang Theory                 -2.61
239   Dr. Shaun Murphy                         The Good Doctor                     -2.60
240   Tommy Carcetti                           The Wire                             2.60
241   Bo Peep                                  Toy Story                           -2.55
242   Principal Vernon                         The Breakfast Club                   2.52
243   Vitruvius                                The Lego Movie                      -2.51
244   Donald Ressler                           The Blacklist                       -2.51
245   Manny Santos                             Degrassi: The Next Generation        2.51
246   Debora                                   Baby Driver                          2.47
247   Aimee Finecky                            The Spectacular Now                  2.44
248   Michael Groff                            Sex Education                       -2.39
249   Sam Witwicky                             Transformers                        -2.37
250   Ben Scott                                Yellowjackets                       -2.37
251   Han Lue                                  Fast & Furious                       2.32
252   Don Quijote                              Don Quixote                          2.27
253   Dr. Sharon Fieldstone                    Ted Lasso                           -2.26
254   William Rawls                            The Wire                            -2.26
255   Ross Geller                              Friends                             -2.24
256   Alvy Singer                              Annie Hall                           2.24
257   Silvio Dante                             The Sopranos                         2.23
258   Homer Simpson                            The Simpsons                        -2.20
259   Maddy Perez                              Euphoria                            -2.19
260   Winston Bishop                           New Girl                            -2.18
261   Missy Armitage                           Get Out                              2.16
262   Anita 'Needy' Lesnicki                   Jennifer's Body                      2.13
263   Kelly Kapoor                             The Office                          -2.09
264   Al Robbins                               CSI: Crime Scene Investigatio       -2.09
265   Luka Kovac                               ER                                  -2.07
266   Pete Campbell                            Mad Men                              1.97
267   Ivar Ragnarsson                          Vikings                              1.97
268   Arthur Shelby                            Peaky Blinders                       1.96
269   Lilo Pelekai                             Lilo & Stitch                        1.93
270   Chloe Sullivan                           Smallville                           1.92
271   Jackson Marchetti                        Sex Education                       -1.87
272   Luna Lovegood                            Harry Potter                        -1.87
273   Leo Fitz                                 Agents of S.H.I.E.L.D.              -1.85
274   Tony Soprano                             The Sopranos                        -1.79
275   Emma Pillsbury                           Glee                                 1.78
276   D.I. Greg Lestrade                       Sherlock                            -1.78
277   Charles Boyle                            Brooklyn Nine-Nine                  -1.75
278   Rosa Diaz                                Brooklyn Nine-Nine                   1.73
279   Olivia                                   Twelfth Night                       -1.72
280   Jonathan Byers                           Stranger Things                      1.72
281   Stephanie Holden                         Baywatch                            -1.68
282   Thufir Hawat                             Dune                                -1.67
283   Mamá Imelda                              Coco                                 1.64
284   Rita Hanson                              Groundhog Day                       -1.61
285   Watari                                   Death Note                          -1.58
286   Aimee Gibbs                              Sex Education                        1.56
287   Gretchen Wieners                         Mean Girls                           1.53
288   Andrew Clark                             The Breakfast Club                   1.45
289   Marius Pontmercy                         Les Misérables                       1.43
290   Deanna Troi                              Star Trek: The Next Generatio       -1.42
291   Mary Margaret Blanchard                  Once Upon a Time                     1.40
292   Frank Reynolds                           It's Always Sunny in Philadel        1.40
293   Lincoln Burrows                          Prison Break                        -1.37
294   Sam Evans                                Glee                                -1.34
295   Duke Leto Atreides                       Dune                                -1.33
296   Fogell (McLovin)                         Superbad                             1.33
297   Claire Colburn                           Elizabethtown                        1.29
298   Sancho Panza                             Don Quixote                          1.29
299   Ben Hargreeves                           The Umbrella Academy                 1.28
300   Nemo                                     Finding Nemo                         1.24
301   Elena Gilbert                            The Vampire Diaries                 -1.24
302   Holly Golightly                          Breakfast at Tiffany's              -1.23
303   Data                                     Star Trek: The Next Generatio        1.20
304   Victor Laszlo                            Casablanca                           1.18
305   Jack Crawford                            Hannibal                             1.18
306   William H. 'Shakespeare' Hill            This Is Us                          -1.18
307   Prince Humperdinck                       The Princess Bride                  -1.15
308   Alphonse Elric                           Fullmetal Alchemist: Brotherh       -1.12
309   Elizabeth Jennings                       The Americans                       -1.11
310   Princess Anna Karenina                   Anna Karenina                        1.11
311   Spencer Hastings                         Pretty Little Liars                  1.09
312   Charlie Swan                             Twilight                             1.04
313   Johnny Lawrence                          Cobra Kai                           -1.04
314   Neelix                                   Star Trek: Voyager                   1.01
315   Theon Greyjoy                            Game of Thrones                     -1.00
316   Joey Quinn                               Dexter                              -0.99
317   Leslie Thompkins                         Gotham                               0.96
318   Kate Beckett                             Castle                              -0.95
319   Jenny Curran                             Forrest Gump                         0.89
320   Shelly Johnson                           Twin Peaks                           0.89
321   Merry Brandybuck                         Lord of the Rings                    0.85
322   Ray Stantz                               Ghostbusters                         0.82
323   Aria Montgomery                          Pretty Little Liars                  0.76
324   Phil Dunphy                              Modern Family                       -0.76
325   Jane Eyre                                Jane Eyre                            0.76
326   Cutty Wise                               The Wire                            -0.74
327   Clarisse McClellan                       Fahrenheit 451                      -0.74
328   Thea Queen                               Arrow                                0.72
329   Noah Calhoun                             The Notebook                        -0.64
330   Brandon Stark                            Game of Thrones                     -0.63
331   Arthur Weasley                           Harry Potter                         0.59
332   Mary Svevo                               Eternal Sunshine of the Spotl       -0.58
333   Fleur Delacour                           Harry Potter                         0.57
334   Marion Ravenwood                         Raiders of the Lost Ark              0.54
335   Ariadne                                  Inception                           -0.54
336   Pat Solitano                             Silver Linings Playbook             -0.53
337   Kyle Broflovski                          South Park                           0.52
338   Alex Karev                               Grey's Anatomy                       0.50
339   Tony Stark                               Marvel Cinematic Universe            0.50
340   Jean-Luc Picard                          Star Trek: The Next Generatio        0.48
341   Sam Seaborn                              The West Wing                        0.46
342   Penelope Garcia                          Criminal Minds                       0.45
343   Winn Schott                              Supergirl                           -0.40
344   Dr. Strange                              Marvel Cinematic Universe            0.39
345   Dr. Wendy Carr                           Mindhunter                           0.39
346   Marty Mikalski                           The Cabin in the Woods              -0.38
347   Xander Harris                            Buffy the Vampire Slayer             0.38
348   Meg March                                Little Women                        -0.36
349   Melinda May                              Agents of S.H.I.E.L.D.              -0.35
350   Jim Holden                               The Expanse                         -0.35
351   Annie Reed                               Sleepless in Seattle                 0.35
352   Thomas Shelby                            Peaky Blinders                       0.34
353   Jesse                                    Before Sunrise                      -0.31
354   Jeff Winger                              Community                            0.30
355   Konstantin Levin                         Anna Karenina                        0.26
356   Princess Leia                            Star Wars: A New Hope               -0.26
357   Laura Roslin                             Battlestar Galactica                 0.24
358   Stormfront                               The Boys                            -0.22
359   Kitty Forman                             That 70's Show                       0.21
360   Christopher Turk                         Scrubs                              -0.18
361   Diana Rayburn                            Bloodline                            0.17
362   Alfredo Linguini                         Ratatouille                         -0.15
363   Ola Nyman                                Sex Education                       -0.08
364   Lee Sizemore                             Westworld                           -0.05
365   Ellis Wyatt                              Atlas Shrugged                      -0.01
366   Heloise                                  Portrait of a Lady on Fire           0.00

====================================================================================================
CLUSTER 5: MOSTLY INERT — 74 characters (3.7%)
Center: [+-+-+-] +0.775 -0.785 +0.852 -0.693 +0.603 -0.744
DX: mean=+0.7m, |DX| mean=2.8m, std=3.7m
Dead (<1m): 19 (26%), Champions (>20m): 0 (0%)
Top stories: The Boys(4), The Godfather(3), The Boondock Saints(3), The Wire(3), Game of Thrones(3), Riverdale(2), American History X(2), Harry Potter(2)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Hiram Lodge                              Riverdale                          -13.05
2     Murphy MacManus                          The Boondock Saints                  9.73
3     Boromir                                  Lord of the Rings                    9.07
4     John McClane                             Die Hard                            -7.77
5     Dr. Robert Chase                         House, M.D.                          6.34
6     Lex Luthor                               Smallville                           6.19
7     Madelyn Stillwell                        The Boys                             6.06
8     Lieutenant Schrank                       West Side Story                      5.82
9     Johnny 'Drama' Chase                     Entourage                           -5.32
10    Colonel Graff                            Ender's Game                         5.28
11    Dwight Schrute                           The Office                           5.26
12    Toph Beifong                             Avatar: The Last Airbender           4.80
13    Vincent Chase                            Entourage                           -4.64
14    Megatron                                 Transformers                         4.61
15    Dee Reynolds                             It's Always Sunny in Philadel        4.51
16    Maximus                                  Gladiator                           -4.46
17    Lieutenant Worf                          Star Trek: The Next Generatio        4.41
18    Magneto                                  X-Men                               -3.97
19    Joffrey Baratheon                        Game of Thrones                      3.92
20    Tom Buchanan                             The Great Gatsby                     3.91
21    Anakin Skywalker                         Star Wars: Revenge of the Sit       -3.57
22    Bellatrix Lestrange                      Harry Potter                         3.56
23    Rhonda Pearlman                          The Wire                            -3.49
24    Mr. Big                                  Sex and the City                     3.47
25    Papa Joe Yakavetta                       The Boondock Saints                 -3.39
26    Derek Vinyard                            American History X                  -3.35
27    Beowulf                                  Beowulf                             -3.32
28    Palpatine                                Star Wars: Revenge of the Sit       -3.13
29    Bodie Broadus                            The Wire                             3.13
30    Sasuke Uchiha                            Naruto                              -3.12
31    Sonny Corleone                           The Godfather                        2.97
32    Homelander                               The Boys                             2.96
33    Cersei Lannister                         Game of Thrones                      2.70
34    Commodus                                 Gladiator                            2.68
35    Park Dong-ik                             Parasite                             2.65
36    Billy Butcher                            The Boys                             2.56
37    Tugg Speedman                            Tropic Thunder                       2.41
38    Optimus Prime                            Transformers                         2.14
39    David Della Rocco                        The Boondock Saints                 -2.13
40    Dr. Bob Sweeney                          American History X                  -2.09
41    Mother's Milk                            The Boys                             1.99
42    Michael Corleone                         The Godfather                       -1.84
43    Mumen Rider                              One Punch Man                        1.78
44    Marcus Kane                              The 100                             -1.78
45    Marge Thompson                           A Nightmare on Elm Street            1.58
46    Vito Corleone                            The Godfather                        1.57
47    Avon Barksdale                           The Wire                            -1.43
48    Vizzini                                  The Princess Bride                   1.36
49    General Kirigan                          Shadow and Bone                      1.35
50    Nina Sayers                              Black Swan                          -1.34
51    Alice Cooper                             Riverdale                            1.17
52    Jules Louden                             The Cabin in the Woods              -1.13
53    Basher Tarr                              Ocean's 11                           1.07
54    Cal Hockley                              Titanic                              1.05
55    Red Reznikov                             Orange is the New Black              1.05
56    Nelson Bighetti                          Silicon Valley                      -0.95
57    T-800                                    Terminator 2: Judgement Day          0.92
58    Tywin Lannister                          Game of Thrones                     -0.85
59    The Queen                                Snow White and the Seven Dwar        0.76
60    Captain Hammer                           Dr. Horrible's Sing-Along Blo        0.76
61    Rintarou Okabe                           Steins;Gate                         -0.71
62    Rosalie Hale                             Twilight                             0.68
63    Sirius Black                             Harry Potter                         0.65
64    Damian Leigh                             Mean Girls                           0.60
65    John Dutton                              Yellowstone                          0.57
66    Dr. Hannibal Lecter                      The Silence of the Lambs            -0.54
67    Lady Macbeth                             Macbeth                             -0.50
68    Ron Swanson                              Parks and Recreation                -0.44
69    Amanda LaRusso                           Cobra Kai                           -0.31
70    Thor                                     Marvel Cinematic Universe           -0.29
71    Lieutenant Commander Worf                Star Trek: Deep Space Nine           0.26
72    A.J. Soprano                             The Sopranos                        -0.24
73    Thanos                                   Marvel Cinematic Universe           -0.18
74    Mark                                     The Room                            -0.16

====================================================================================================
CLUSTER 6: RIGHT WALKERS — 73 characters (3.6%)
Center: [-++--+] -0.776 +0.634 +0.431 -0.347 -0.428 +0.710
DX: mean=+6.2m, |DX| mean=8.5m, std=8.6m
Dead (<1m): 4 (5%), Champions (>20m): 4 (5%)
Top stories: Harry Potter(3), After Life(3), The Dark Knight(3), Black Swan(2), Neon Genesis Evangelion(2), Dexter(2), House, M.D.(2), LOST(2)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Shinji Ikari                             Neon Genesis Evangelion             31.35
2     Dexter Morgan                            Dexter                              30.87
3     Rei Ayanami                              Neon Genesis Evangelion             21.57
4     Lau                                      The Dark Knight                     20.23
5     Alastor Moody                            Harry Potter                        17.97
6     Emma                                     After Life                          16.91
7     John Locke                               LOST                                16.71
8     Kath                                     After Life                          16.03
9     Paul Spector                             The Fall                           -15.76
10    Shuichi Aizawa                           Death Note                          15.25
11    Marty Hart                               True Detective                      15.04
12    Bruce Wayne                              The Dark Knight                     14.68
13    Ash                                      Alien                               13.85
14    Mike Ehrmantraut                         Breaking Bad                        12.84
15    Bill Tench                               Mindhunter                          12.68
16    Luther Hargreeves                        The Umbrella Academy               -12.39
17    Amy Elliott Dunne                        Gone Girl                           12.16
18    Scorpius                                 Farscape                            11.77
19    Oswald Cobblepot                         Gotham                              11.67
20    Lily                                     Black Swan                          11.24
21    Elim Garak                               Star Trek: Deep Space Nine          11.00
22    Tuvok                                    Star Trek: Voyager                  10.45
23    Nick Dunne                               Gone Girl                            9.89
24    Sayid Jarrah                             LOST                                 9.50
25    Matt Braden                              After Life                           9.44
26    Thomas Matthews                          Dexter                               9.36
27    Macbeth                                  Macbeth                              9.19
28    Morty Smith                              Rick and Morty                       9.16
29    Hans                                     Frozen                              -9.01
30    Sydney Carton                            A Tale of Two Cities                 8.75
31    Serena Joy Waterford                     The Handmaid's Tale                  8.53
32    Simon Tam                                Firefly + Serenity                   8.43
33    Cypher                                   The Matrix                           8.30
34    Will Graham                              Hannibal                            -7.90
35    Sandor Clegane                           Game of Thrones                      7.90
36    Winston Smith                            Nineteen Eighty-Four                 7.59
37    Raven Reyes                              The 100                              7.56
38    Anthony Garcia                           The Dark Knight                      7.29
39    Aaron Burr                               Hamilton                             6.74
40    Martha Nielsen                           Dark                                 6.73
41    Severus Snape                            Harry Potter                         6.28
42    Scar                                     The Lion King                       -6.15
43    Tracy Mills                              Se7en                                6.13
44    Mike Ehrmantraut                         Better Call Saul                     6.10
45    Maleficent                               Maleficent                           5.99
46    Lord Voldemort                           Harry Potter                        -5.44
47    Cogsworth                                Beauty and the Beast                 5.43
48    Lena Luthor                              Supergirl                            5.35
49    Elliot Alderson                          Mr. Robot                            5.30
50    Coriolanus Snow                          The Hunger Games                    -5.26
51    Holden Ford                              Mindhunter                           5.19
52    Donald Thompson                          A Nightmare on Elm Street            5.07
53    Regina Mills                             Once Upon a Time                     4.74
54    Edward Fairfax Rochester                 Jane Eyre                            4.55
55    Rust Cohle                               True Detective                       4.52
56    Beast                                    Beauty and the Beast                -4.46
57    Dr. Gregory House                        House, M.D.                          3.81
58    William Somerset                         Se7en                               -3.34
59    Darth Vader                              Star Wars: A New Hope               -3.15
60    Lambert                                  Alien                               -2.79
61    Thomas Leroy                             Black Swan                          -2.42
62    Mr. Robot                                Mr. Robot                            2.32
63    Elliot Stabler                           Law & Order: SVU                    -2.11
64    Erwin Smith                              Attack on Titan                      1.98
65    Agent Smith                              The Matrix                          -1.94
66    Black Noir                               The Boys                             1.54
67    Jim Burns                                The Fall                            -1.34
68    Klaus Baudelaire                         A Series of Unfortunate Event       -1.24
69    Dr. Eric Foreman                         House, M.D.                          1.16
70    The Wicked Witch of the West             The Wizard of Oz                     0.63
71    Thomas Barrow                            Downton Abbey                        0.13
72    Javert                                   Les Misérables                       0.12
