ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
296   Chandler Bing                            Friends                            -13.96
297   Effie Trinket                            The Hunger Games                   -13.61
298   Jack Crawford                            The Silence of the Lambs           -13.61
299   Tom Hansen                               (500) Days of Summer               -13.61
300   Leslie Knope                             Parks and Recreation               -13.49
301   Carl Grimes                              The Walking Dead                   -13.47
302   Dr. Alan Grant                           Jurassic Park                      -13.47
303   Jean Grey                                X-Men                              -13.38
304   Professor X                              X-Men                              -13.36
305   Elizabeth Burke                          White Collar                       -13.34
306   Georgiana Darcy                          Pride and Prejudice                -13.28
307   Viola                                    Twelfth Night                      -13.20
308   Jamie Reagan                             Blue Bloods                        -13.18
309   Kevin Malone                             The Office                         -13.08
310   Morpheus                                 The Matrix                         -12.98
311   Erin Reagan                              Blue Bloods                        -12.96
312   April Ludgate                            Parks and Recreation               -12.94
313   Fernando Sucre                           Prison Break                       -12.94
314   Kate Austen                              LOST                               -12.91
315   Chloe Decker                             Lucifer                            -12.89
316   Mycroft Holmes                           Sherlock                           -12.87
317   Jake Sisko                               Star Trek: Deep Space Nine         -12.49
318   Mary Wardwell                            Chilling Adventures of Sabrin      -12.35
319   Angelica Turing                          Sense8                             -12.27
320   Lois Lane                                Smallville                         -12.22
321   David Mills                              Se7en                              -12.19
322   Céline                                   Before Sunrise                     -12.17
323   Billy Costigan                           The Departed                       -12.01
324   Countess Lidia Ivanovna                  Anna Karenina                      -11.88
325   Ben Wyatt                                Parks and Recreation               -11.81
326   Winn Adami                               Star Trek: Deep Space Nine         -11.79
327   Naomi Nagata                             The Expanse                        -11.78
328   Akecheta                                 Westworld                          -11.68
329   Davos Seaworth                           Game of Thrones                    -11.62
330   Kermit                                   Shameless                          -11.51
331   Sophie Neveu                             The Da Vinci Code                  -11.28
332   Jason Bourne                             The Bourne Identity                 11.23
333   Eric Effiong                             Sex Education                      -11.23
334   Princess Darya Oblonskaya                Anna Karenina                      -11.20
